wkt,srid,name,area,remarks,sessionNum
POINT (-641025.8565339005 7308772.180542897),4326,Kilroot,Eden,Whithead to Belfast coast captures,1
POINT (-645419.0921824716 7307673.872103441),4326,Downshire,Carrickfergus,Whithead to Belfast coast captures,1
POINT (-648235.2679591421 7306068.651494775),4326,Carrickfergus,Carrickfergus Outskirts,Whithead to Belfast coast captures,1
POINT (-651980.7839731914 7303646.739268022),4326,Shore Road,Green Island,Whithead to Belfast coast captures,1
POINT (-655726.298096497 7299535.12044082),4326,Jordanstown,Jordanstown,Whithead to Belfast coast captures,1
POINT (-799367.6334132208 7368560.093930259),4326,Airport Enterance,Derry/Londonderry,Airport Captures,2
POINT (-796578.6706075371 7369468.906398249),4326,Airport Car Park,Derry/Londonderry,Airport Captures,2
POINT (-796833.6492471147 7369710.423702288),4326,Airport Cafe,Derry/Londonderry,Airport Captures,2
POINT (-792703.7189860598 7367742.684513753),4326,Greysteel Cafe,Derry/Londonderry,Airport Captures,2
POINT (-705637.5415490742 7203141.477556062),4326,Newry Cafe,Newry,Newry Cafes,3
POINT (-705851.0210223553 7205029.438285518),4326,Newry Cafe,Newry,Newry Cafes,3
POINT (-704490.0882044561 7203788.587867295),4326,Newry Cafe,Newry,Newry Cafes,3
POINT (-701738.1539583126 7058211.600654831),4326,Dublin North,Dublin North,Dublin Tour,4
POINT (-710114.2681214713 7048938.045688476),4326,Dublin West,Dublin West,Dublin Tour,4
POINT (-703483.177742304 7037969.324760532),4326,Dublin South,Dublin South,Dublin Tour,4
POINT (-695107.0635791452 7048589.040931678),4326,Dublin East,Dublin East,Dublin Tour,4
POINT (-726019.4427250742 7324565.33488014),4326,Lough beg Area,Lough beg Area,Lough beg Area,5
POINT (-734818.3446200802 7340599.136062619),4326,Lough beg Area,Lough beg Area,Lough beg Area,5
POINT (-737057.2573800745 7319809.231862673),4326,Lough beg Area,Lough beg Area,Lough beg Area,5
POINT (-854358.5615220299 7235666.823531429),4326,Lough south,Enniskillen North,Enniskillen,6
POINT (-861183.3074880961 7244872.2948344955),4326,Lough middle,Enniskillen,Enniskillen,6
POINT (-867373.1933642956 7252411.258401661),4326,Lough North,Enniskillen South,Enniskillen,6
POINT (-689858.7030168178 7384767.572032372),4326,Breen Forest,North Coast,North Coast,7
POINT (-693340.1461521435 7392856.807552687),4326,Knocklayd,North Coast,North Coast,7
POINT (-683305.3982914989 7395826.273756348),4326,Ballypatrick forest,Ballypatrick,North Coast,7
POINT (-694844.1784204016 7401236.849897095),4326,Ballycastle,Ballycastle,North Coast,7
POINT (-736735.1424282474 7270996.767248183),4326,Lough Neagh SW,Lough Neagh SW,Lough Neagh South Side,8
POINT (-725755.0594731179 7265332.405189909),4326,Lough Neagh SSW,Lough Neagh SSW,Lough Neagh South Side,8
POINT (-707757.1881718184 7263807.995325591),4326,Lough Neagh SSE,Lough Neagh SSE,Lough Neagh South Side,8
POINT (-703577.3546728827 7272364.360370471),4326,Lough Neagh SE,Lough Neagh SE,Lough Neagh South Side,8
