wkt,srid,name,area,remarks,sessionNum
POINT (-641025.8565339005 7308772.180542897),4326,Kilroot,Eden,Whithead to Belfast coast captures,1
POINT (-645419.0921824716 7307673.872103441),4326,Downshire,Carrickfergus,Whithead to Belfast coast captures,1
POINT (-648235.2679591421 7306068.651494775),4326,Carrickfergus,Carrickfergus Outskirts,Whithead to Belfast coast captures,1
POINT (-651980.7839731914 7303646.739268022),4326,Shore Road,Green Island,Whithead to Belfast coast captures,1
POINT (-655726.298096497 7299535.12044082),4326,Jordanstown,Jordanstown,Whithead to Belfast coast captures,1
POINT (-799367.6334132208 7368560.093930259),4326,Airport Enterance,Derry/Londonderry,Airport Captures,2
POINT (-796578.6706075371 7369468.906398249),4326,Airport Car Park,Derry/Londonderry,Airport Captures,2
POINT (-796833.6492471147 7369710.423702288),4326,Airport Cafe,Derry/Londonderry,Airport Captures,2
POINT (-792703.7189860598 7367742.684513753),4326,Greysteel Cafe,Derry/Londonderry,Airport Captures,2
POINT (-705637.5415490742 7203141.477556062),4326,Newry Cafe,Newry,Newry Cafes,3
POINT (-705851.0210223553 7205029.438285518),4326,Newry Cafe,Newry,Newry Cafes,3
POINT (-704490.0882044561 7203788.587867295),4326,Newry Cafe,Newry,Newry Cafes,3
